date,open,high,low,close,volume
2020-04-24,66.07,66.88,65.8,66.65,7315817
2020-04-27,67.397,67.77,66.51,67.06,6135258
2020-04-28,67.0,67.33,63.72,63.86,7912156
2020-04-29,64.149,65.2,62.3374,64.79,8572624
2020-04-30,64.82,65.46,63.41,63.73,9895100
2020-05-01,63.14,64.935,62.85,64.72,5103496
2020-05-04,65.33,66.89,65.23,66.7,7778103
2020-05-05,67.67,69.63,66.97,68.53,15461915
2020-05-06,74.0,74.795,71.03,72.87,21709490
2020-05-07,72.31,73.645,71.12,73.1,8653066
2020-05-08,73.18,74.0,72.51,73.14,6089228
2020-05-11,73.0609,75.97,72.6,75.46,9285199
2020-05-12,75.265,75.49,71.95,72.25,8921039
2020-05-13,72.51,75.01,71.97,73.67,8807713
2020-05-14,73.12,73.9,71.61,72.96,6749221
2020-05-15,72.62,74.0,72.285,73.92,5854174
2020-05-18,73.86,74.68,72.45,72.88,8495178
2020-05-19,72.9,74.44,72.72,73.03,5509676
2020-05-20,73.535,74.54,73.24,73.78,6231063
2020-05-21,74.36,74.49,72.44,72.47,9522924
2020-05-22,73.01,73.16,72.2,73.08,5161359
2020-05-26,73.37,73.4888,69.61,70.0,11628604
2020-05-27,69.29,70.34,66.592,70.15,13218568
2020-05-28,70.0,71.73,69.4006,70.22,7899909
2020-05-29,70.66,72.21,69.82,71.98,11437088
2020-06-01,72.19,73.58,71.72,72.99,4931853
2020-06-02,72.78,73.04,71.0902,72.98,6518530
2020-06-03,72.39,72.63,69.665,69.92,10519782
2020-06-04,69.5,71.1,69.1,69.81,7629965
2020-06-05,67.99,69.59,67.4,69.43,8620317
2020-06-08,68.49,70.77,68.33,70.73,6941441
2020-06-09,71.28,72.16,70.23,72.0,6245192
2020-06-10,72.38,74.24,72.31,73.82,9106784
2020-06-11,72.87,74.35,71.02,71.28,7808023
2020-06-12,71.5,73.21,70.25,71.68,5921437
2020-06-15,71.48,73.55,71.27,73.19,6494643
2020-06-16,74.0,74.19,72.23,73.0,6360259
2020-06-17,73.69,76.48,73.31,75.53,12763570
2020-06-18,75.99,76.37,74.89,76.01,7270416
2020-06-19,76.18,76.75,75.09,76.58,10385245
2020-06-22,76.67,77.2,75.87,76.12,5243074
2020-06-23,76.73,77.63,76.22,76.45,4472169
2020-06-24,76.46,77.17,74.43,75.58,7744934
2020-06-25,76.61,76.77,74.46,76.21,6157310
2020-06-26,76.54,76.84,74.65,76.4,11572670
2020-06-29,75.82,76.515,74.93,75.5,5099362
2020-06-30,75.69,76.43,75.42,75.9,6535740
2020-07-01,75.45,78.23,74.97,78.03,10187729
2020-07-02,78.86,79.11,77.045,77.51,5169711
2020-07-06,78.46,79.44,78.05,78.67,6041824
2020-07-07,79.0,80.38,78.39,78.5,6038790
2020-07-08,79.06,79.345,77.97,79.28,4863396
2020-07-09,79.93,80.75,78.8213,80.64,6005720
2020-07-10,80.72,81.5254,79.63,81.27,6071116
2020-07-13,82.01,82.05,77.52,77.95,7437572
2020-07-14,76.81,79.89,76.21,79.77,4875560
2020-07-15,78.52,79.585,77.455,79.15,6994327
2020-07-16,78.88,79.48,77.87,79.37,4950149
2020-07-17,79.41,79.85,77.95,78.64,6241468
2020-07-20,79.07,81.37,78.68,81.16,5556413
2020-07-21,81.645,81.83,79.62,80.76,5496467
2020-07-22,80.97,81.38,80.42,81.1,2937364
2020-07-23,81.49,82.67,79.38,79.61,5963149
2020-07-24,79.32,80.745,78.12,79.99,4371429
2020-07-27,80.6,81.795,80.59,81.63,3777232
2020-07-28,81.37,81.86,80.59,80.72,3637146
2020-07-29,81.26,81.44,80.62,81.2,2957601
2020-07-30,80.6,82.02,79.91,81.7,4034047
2020-07-31,82.81,83.45,81.76,82.63,8923266
2020-08-03,84.41,85.05,82.87,84.79,8589596
2020-08-04,86.77,87.04,83.95,86.45,16110332
2020-08-05,84.65,86.02,83.35,84.32,12559789
2020-08-06,87.55,87.7265,85.5,86.84,9586305
2020-08-07,84.43,85.4,80.99,82.47,9181875
2020-08-10,82.43,83.51,80.84,82.26,8018241
2020-08-11,81.51,81.51,78.7,79.12,9095695
2020-08-12,79.58,81.99,79.58,81.71,6200326
2020-08-13,82.28,82.98,81.2,81.29,5329083
2020-08-14,81.97,82.3,79.98,80.4,9390035
2020-08-17,80.97,82.05,80.1686,81.99,7091775
2020-08-18,82.6,83.2799,81.59,83.13,4479265
2020-08-19,82.95,83.73,81.73,81.98,5566091
2020-08-20,82.02,84.22,81.8613,83.995,5604107
2020-08-21,84.05,84.09,82.73,83.21,5102134
2020-08-24,83.34,83.66,81.91,83.1,4281857
2020-08-25,82.93,83.845,82.3685,83.62,3658992
2020-08-26,83.83,84.94,83.54,84.48,7046351
2020-08-27,85.0,85.0,82.775,83.9,4221334
2020-08-28,83.95,84.03,82.31,83.21,4646739
2020-08-31,82.81,83.9299,82.69,83.52,6269549
2020-09-01,83.8438,84.49,82.6,83.33,5955106
2020-09-02,83.58,84.02,82.475,83.45,7125069
2020-09-03,82.96,83.0,79.411,80.31,7996811
